contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,T,Expiry,Moneyness
SPY260220C00485000,2026-01-29 17:02:53+00:00,485.0,205.23,202.0,205.38,0.0,0.0,5.0,8,0.711916943359375,True,REGULAR,USD,0.03561643835616438,2026-02-20,0.7044759468093283
SPY260220C00490000,2026-01-27 15:38:38+00:00,490.0,207.05,197.63,200.41,0.0,0.0,1.0,34,0.7851583984375,True,REGULAR,USD,0.03561643835616438,2026-02-20,0.7117385854362286
SPY260220C00495000,2026-02-06 15:00:18+00:00,495.0,190.68,192.39,195.45,-9.060013,-4.535903,4.0,52,0.7421900781249999,True,REGULAR,USD,0.03561643835616438,2026-02-20,0.7190012240631289
SPY260220C00500000,2026-02-05 14:30:01+00:00,500.0,182.02,187.24,190.46,0.0,0.0,2.0,96,0.7055693505859376,True,REGULAR,USD,0.03561643835616438,2026-02-20,0.7262638626900292
SPY260220C00505000,2025-12-26 15:18:31+00:00,505.0,188.82,185.87,189.17,0.0,0.0,4.0,9,1.0494432293701175,True,REGULAR,USD,0.03561643835616438,2026-02-20,0.7335265013169295
SPY260220C00510000,2026-02-05 15:07:36+00:00,510.0,169.72,177.27,180.07,0.0,0.0,1.0,16,0.6113320117187502,True,REGULAR,USD,0.03561643835616438,2026-02-20,0.7407891399438298
SPY260220C00515000,2026-02-04 17:57:20+00:00,515.0,169.47,172.34,175.1,0.0,0.0,4.0,21,0.6113320117187502,True,REGULAR,USD,0.03561643835616438,2026-02-20,0.7480517785707301
SPY260220C00520000,2026-01-28 19:54:18+00:00,520.0,177.12,167.47,170.28,0.0,0.0,1.0,30,0.6337927246093751,True,REGULAR,USD,0.03561643835616438,2026-02-20,0.7553144171976304
SPY260220C00525000,2026-02-06 15:59:02+00:00,525.0,161.47,162.64,165.11,4.6399994,2.9586172,1.0,10,0.6147499462890625,True,REGULAR,USD,0.03561643835616438,2026-02-20,0.7625770558245307
SPY260220C00530000,2026-01-29 21:00:09+00:00,530.0,165.84,157.42,160.13,0.0,0.0,3.0,29,0.5722699023437501,True,REGULAR,USD,0.03561643835616438,2026-02-20,0.769839694451431
SPY260220C00535000,2026-02-06 15:06:34+00:00,535.0,150.03,152.3,155.1,-3.9700012,-2.5779228,2.0,16,0.53320779296875,True,REGULAR,USD,0.03561643835616438,2026-02-20,0.7771023330783312
SPY260220C00540000,2026-02-06 15:08:06+00:00,540.0,144.7,147.32,150.13,-7.0,-4.6143703,1.0,36,0.5229539892578124,True,REGULAR,USD,0.03561643835616438,2026-02-20,0.7843649717052316
SPY260220C00545000,2026-01-30 20:59:19+00:00,545.0,148.14,142.38,145.02,0.0,0.0,1.0,9,0.6782258740234376,True,REGULAR,USD,0.03561643835616438,2026-02-20,0.7916276103321318
SPY260220C00550000,2026-02-06 15:09:36+00:00,550.0,134.93,137.38,140.16,-12.460007,-8.453767,7.0,84,0.6676058630371096,True,REGULAR,USD,0.03561643835616438,2026-02-20,0.7988902489590322
SPY260220C00555000,2026-02-03 15:11:04+00:00,555.0,139.0,132.34,135.15,0.0,0.0,3.0,22,0.6446568737792968,True,REGULAR,USD,0.03561643835616438,2026-02-20,0.8061528875859324
SPY260220C00560000,2026-02-03 16:31:01+00:00,560.0,132.11,127.59,130.25,0.0,0.0,1.0,67,0.6301306518554688,True,REGULAR,USD,0.03561643835616438,2026-02-20,0.8134155262128328
SPY260220C00565000,2026-02-06 16:21:51+00:00,565.0,123.5,123.68,123.93,10.300003,9.098943,5.0,352,0.4760794580078125,True,REGULAR,USD,0.03561643835616438,2026-02-20,0.820678164839733
SPY260220C00570000,2026-02-05 21:05:05+00:00,570.0,107.57,117.48,120.21,0.0,0.0,7.0,92,0.5830119824218749,True,REGULAR,USD,0.03561643835616438,2026-02-20,0.8279408034666333
SPY260220C00575000,2026-02-04 16:23:32+00:00,575.0,113.84,113.97,114.19,0.0,0.0,1.0,134,0.4733939379882813,True,REGULAR,USD,0.03561643835616438,2026-02-20,0.8352034420935336
SPY260220C00580000,2026-02-06 16:15:01+00:00,580.0,108.5,108.87,109.11,10.32,10.511306,6.0,188,0.44482977050781247,True,REGULAR,USD,0.03561643835616438,2026-02-20,0.8424660807204339
SPY260220C00585000,2026-02-05 17:49:00+00:00,585.0,97.44,102.51,105.29,0.0,0.0,10.0,83,0.5227098510742187,True,REGULAR,USD,0.03561643835616438,2026-02-20,0.8497287193473342
SPY260220C00590000,2026-02-06 16:30:47+00:00,590.0,98.28,99.02,99.24,6.5999985,7.1989517,2.0,248,0.42090422851562503,True,REGULAR,USD,0.03561643835616438,2026-02-20,0.8569913579742344
SPY260220C00595000,2026-02-05 20:46:57+00:00,595.0,83.51,94.04,94.26,0.0,0.0,4.0,290,0.4035704174804688,True,REGULAR,USD,0.03561643835616438,2026-02-20,0.8642539966011348
SPY260220C00600000,2026-02-06 16:32:25+00:00,600.0,88.51,88.84,89.09,10.260002,13.111824,13.0,1356,0.36743796630859377,True,REGULAR,USD,0.03561643835616438,2026-02-20,0.871516635228035
SPY260220C00605000,2026-02-05 19:52:14+00:00,605.0,75.37,83.97,84.22,0.0,0.0,5.0,335,0.36133451171875,True,REGULAR,USD,0.03561643835616438,2026-02-20,0.8787792738549354
